# bench_static_markup_with_demo_app
runs,cycles,nanos,compactions,minor_allocated,major_allocated,promoted,major_collections,minor_collections
119,1995583,1996040,0,276814,124225,346,0,1
120,1981000,1981735,0,277213,125266,346,0,1
121,1987417,1986980,0,277612,126307,346,0,1
122,2128792,2128839,0,278010,127348,346,0,1
123,2021459,2022266,0,278409,128389,346,0,1
124,1966500,1967191,0,278808,129430,346,0,1
125,2050125,2049922,0,279206,130471,346,0,1
126,2077667,2078056,0,279605,131512,346,0,1
127,2058209,2058029,0,280003,132553,346,0,1
128,2107917,2107858,0,280402,133594,346,0,1
129,2113000,2112865,0,280801,134635,346,0,1
130,2091041,2093791,0,281199,135676,346,0,1
131,2259375,2262830,0,281598,136717,346,0,1
132,2120542,2120971,0,281997,137758,346,0,1
133,2167459,2167940,0,282395,138799,346,0,1
134,2211875,2211809,0,282794,139840,346,0,1
135,2219333,2220153,0,283192,140881,346,0,1
136,2290584,2290964,0,283591,141922,346,0,1
137,2290917,2292871,0,283990,142963,346,0,1
138,2263459,2264022,0,284388,144004,346,0,1
139,2243292,2244234,0,284787,145045,346,0,1
140,2259833,2261161,0,285186,146086,346,0,1
141,2289625,2290010,0,285584,147127,346,0,1
142,2269875,2269983,0,285983,148168,346,0,1
143,2474125,2475976,0,286381,149209,346,0,1
144,2323542,2324104,0,286780,150250,346,0,1
145,2351542,2351999,0,287179,151291,346,0,1
146,2413417,2413988,0,287577,152332,346,0,1
147,2413416,2413988,0,287976,153373,346,0,1
148,2397833,2397775,0,288375,154414,346,0,1
149,2512750,2512931,0,288773,155455,346,0,1
150,2436625,2436876,0,289172,156496,346,0,1
151,2456417,2456903,0,289570,157537,346,0,1
152,2441041,2441167,0,289969,158578,346,0,1
153,2484166,2484083,0,290368,159619,346,0,1
154,2465583,2465963,0,290766,160660,346,0,1
155,2548833,2548933,0,291165,161701,346,0,1
156,2570708,2571821,0,291564,162742,346,0,1
157,2566542,2567291,0,291962,163783,346,0,1
158,2551500,2551794,0,292361,164824,346,0,1
159,2581875,2581834,0,292759,165865,346,0,1
160,2583458,2583026,0,293158,166906,346,0,1
161,2613833,2614974,0,293557,167947,346,0,1
162,2622375,2623081,0,293955,168988,346,0,1
163,2660208,2660989,0,294354,170029,346,0,1
164,2664125,2663850,0,294753,171070,346,0,1
165,2681625,2681732,0,524526,172722,957,0,2
166,2609167,2609968,0,524925,173763,957,0,2
167,2739375,2740859,0,525324,174804,957,0,2
168,2728667,2729892,0,525722,175845,957,0,2
169,2819875,2820968,0,526121,176886,957,0,2
170,2697709,2697944,0,526519,177927,957,0,2
171,2796208,2799034,0,526918,178968,957,0,2
172,2805584,2806663,0,527317,180009,957,0,2
173,2845875,2846240,0,527715,181050,957,0,2
174,2846167,2846240,0,528114,182091,957,0,2
175,2846500,2846956,0,528513,183132,957,0,2
176,2822667,2825975,0,528911,184173,957,0,2
177,2852292,2852916,0,529310,185214,957,0,2
178,2952875,2953052,0,529708,186255,957,0,2
179,2940750,2941846,0,530107,187296,957,0,2
180,2935833,2936840,0,530506,188337,957,0,2
181,2928834,2929925,0,530904,189378,957,0,2
182,2909875,2909898,0,531303,190419,957,0,2
183,2975292,2975940,0,531702,191460,957,0,2
184,3023042,3023147,0,532100,192501,957,0,2
185,3041083,3041028,0,532499,193542,957,0,2
186,3026375,3027200,0,532897,194583,957,0,2
187,3005625,3005981,0,533296,195624,957,0,2
188,3018041,3019094,0,533695,196665,957,0,2
189,3120000,3120899,0,534093,197706,957,0,2
190,3114750,3114938,0,534492,198747,957,0,2
191,3071875,3072023,0,534891,199788,957,0,2
192,3114375,3114938,0,535289,200829,957,0,2
193,3097250,3099918,0,535688,201870,957,0,2
194,3090625,3091096,0,536086,202911,957,0,2
195,3194333,3195285,0,536485,203952,957,0,2
196,3145459,3145933,0,536884,204993,957,0,2
197,3192625,3192901,0,537282,206034,957,0,2
198,3172417,3172159,0,537681,207075,957,0,2
199,3170541,3170967,0,538080,208116,957,0,2
200,3305958,3306865,0,538478,209157,957,0,2
202,3264792,3266096,0,539275,211239,957,0,2
204,3309875,3310203,0,540073,213321,957,0,2
206,3346667,3346920,0,540870,215403,957,0,2
208,3350625,3350973,0,541667,217485,957,0,2
210,3448208,3448963,0,542464,219567,957,0,2
212,3417834,3417730,0,543262,221649,957,0,2
214,3509708,3509998,0,544059,223731,957,0,2
216,3512500,3512859,0,544856,225813,957,0,2
218,3524625,3525733,0,545653,227895,957,0,2
220,3543500,3543853,0,546451,229977,957,0,2
222,3624083,3624200,0,547248,232059,957,0,2
224,3662166,3662824,0,548045,234141,957,0,2
226,3725417,3726005,0,548842,236223,957,0,2
228,3693833,3697156,0,549640,238305,957,0,2
230,3726917,3726720,0,550437,240387,957,0,2
232,3840375,3841161,0,551234,242469,957,0,2
234,3790500,3791093,0,552031,244551,957,0,2
236,3942791,3943920,0,552829,246633,957,0,2
238,4037208,4037141,0,553626,248715,957,0,2
240,3914541,3915071,0,554423,250797,957,0,2
242,3911459,3912210,0,555220,252879,957,0,2
244,4002708,4007101,0,556018,254961,957,0,2
246,3993792,3994703,0,556815,257043,957,0,2
248,4037750,4040956,0,786988,259972,1804,0,3
250,3987375,3988027,0,787785,262054,1804,0,3
252,4067041,4068136,0,788583,264136,1804,0,3
254,4147125,4150867,0,789380,266218,1804,0,3
256,4189584,4189968,0,790177,268300,1804,0,3
258,4184666,4184961,0,790974,270382,1804,0,3
260,4239000,4240274,0,791772,272464,1804,0,3
262,4223667,4223823,0,792569,274546,1804,0,3
264,4352541,4353046,0,793366,276628,1804,0,3
266,4416209,4415988,0,794163,278710,1804,0,3
268,4336417,4336833,0,794961,280792,1804,0,3
270,4314875,4314899,0,795758,282874,1804,0,3
272,4440000,4441022,0,796555,284956,1804,0,3
274,4451792,4452228,0,797352,287038,1804,0,3
276,4469375,4469871,0,798150,289120,1804,0,3
