# bench_static_markup_with_simple_app
runs,cycles,nanos,compactions,minor_allocated,major_allocated,promoted,major_collections,minor_collections
151,48541,48875,0,5345,0,0,0,0
152,51417,51975,0,5381,0,0,0,0
153,49250,49829,0,5416,0,0,0,0
154,49875,50067,0,5452,0,0,0,0
155,49875,50306,0,5487,0,0,0,0
156,50500,51021,0,5522,0,0,0,0
157,50708,50783,0,5558,0,0,0,0
158,57625,57935,0,5593,0,0,0,0
159,51792,51975,0,5628,0,0,0,0
160,51541,51975,0,5664,0,0,0,0
161,52833,52928,0,5699,0,0,0,0
162,52125,51975,0,5735,0,0,0,0
163,52917,55789,0,5770,0,0,0,0
164,53958,53882,0,5805,0,0,0,0
165,53417,52928,0,5841,0,0,0,0
166,53458,54121,0,5876,0,0,0,0
167,55417,55074,0,5911,0,0,0,0
168,54000,53882,0,5947,0,0,0,0
169,54375,54121,0,5982,0,0,0,0
170,54833,54836,0,6018,0,0,0,0
171,54834,54836,0,6053,0,0,0,0
172,55916,56028,0,6088,0,0,0,0
173,55584,55789,0,6124,0,0,0,0
174,57500,57697,0,6159,0,0,0,0
175,56125,56028,0,6194,0,0,0,0
176,56583,56743,0,6230,0,0,0,0
177,57084,57220,0,6265,0,0,0,0
178,57292,56982,0,6301,0,0,0,0
179,57750,57935,0,6336,0,0,0,0
180,58208,58889,0,6371,0,0,0,0
181,60042,59843,0,6407,0,0,0,0
182,58416,58889,0,6442,0,0,0,0
183,59167,60081,0,6477,0,0,0,0
184,59292,60081,0,6513,0,0,0,0
185,59833,59127,0,6548,0,0,0,0
186,59834,59127,0,6584,0,0,0,0
187,64042,63896,0,6619,0,0,0,0
188,62791,61988,0,6654,0,0,0,0
189,65291,65088,0,6690,0,0,0,0
190,64416,64134,0,6725,0,0,0,0
191,61250,61035,0,6760,0,0,0,0
192,62375,61988,0,6796,0,0,0,0
193,62083,62227,0,6831,0,0,0,0
194,63417,63896,0,6867,0,0,0,0
195,66292,66041,0,6902,0,0,0,0
196,69500,70095,0,6937,0,0,0,0
197,71916,71763,0,6973,0,0,0,0
198,64750,65088,0,7008,0,0,0,0
199,63959,63896,0,7043,0,0,0,0
200,65209,65088,0,7079,0,0,0,0
202,65083,65088,0,7150,0,0,0,0
204,70083,69856,0,7220,0,0,0,0
206,74542,75101,0,7291,0,0,0,0
208,68833,68902,0,7362,0,0,0,0
210,72125,72002,0,7433,0,0,0,0
212,69666,70095,0,7503,0,0,0,0
214,80125,79870,0,7574,0,0,0,0
216,71417,70810,0,7645,0,0,0,0
218,76958,77962,0,7716,0,0,0,0
220,89291,89168,0,7786,0,0,0,0
222,92792,92983,0,7857,0,0,0,0
224,93416,93936,0,7928,0,0,0,0
226,89917,90122,0,7999,0,0,0,0
228,87167,87022,0,8069,0,0,0,0
230,81959,82015,0,8140,0,0,0,0
232,87834,88214,0,8211,0,0,0,0
234,93541,93936,0,8282,0,0,0,0
236,86833,87022,0,8352,0,0,0,0
238,84041,83923,0,8423,0,0,0,0
240,82834,82254,0,8494,0,0,0,0
242,85625,84877,0,8565,0,0,0,0
244,78458,79154,0,8635,0,0,0,0
246,83458,83923,0,8706,0,0,0,0
248,84583,84161,0,8777,0,0,0,0
250,82458,82969,0,8848,0,0,0,0
252,81125,81062,0,8918,0,0,0,0
254,83458,83208,0,8989,0,0,0,0
256,87500,87022,0,9060,0,0,0,0
258,83166,83923,0,9131,0,0,0,0
260,83375,84161,0,9201,0,0,0,0
262,88625,87976,0,9272,0,0,0,0
264,85000,84877,0,9343,0,0,0,0
266,85792,86069,0,9414,0,0,0,0
268,89625,90122,0,9484,0,0,0,0
270,86667,86784,0,9555,0,0,0,0
272,87542,87022,0,9626,0,0,0,0
274,88583,87976,0,9697,0,0,0,0
276,93375,92744,0,9767,0,0,0,0
278,89458,89883,0,9838,0,0,0,0
280,89958,90122,0,9909,0,0,0,0
282,91208,91075,0,9980,0,0,0,0
284,91417,92029,0,10050,0,0,0,0
286,91875,91791,0,10121,0,0,0,0
288,92708,92744,0,10192,0,0,0,0
290,95542,96082,0,10263,0,0,0,0
292,94333,93936,0,10333,0,0,0,0
294,94583,97990,0,10404,0,0,0,0
296,95500,96082,0,10475,0,0,0,0
298,108042,109195,0,10546,0,0,0,0
300,96917,96797,0,10616,0,0,0,0
303,97333,97036,0,10722,0,0,0,0
306,102375,102996,0,10829,0,0,0,0
309,101375,100851,0,10935,0,0,0,0
312,106584,105857,0,11041,0,0,0,0
315,100958,103950,0,11147,0,0,0,0
318,103000,104904,0,11253,0,0,0,0
321,107834,108003,0,11359,0,0,0,0
324,106333,107049,0,11465,0,0,0,0
327,113917,113964,0,11571,0,0,0,0
330,108125,108003,0,11678,0,0,0,0
333,110750,111103,0,11784,0,0,0,0
336,108000,108003,0,11890,0,0,0,0
339,108791,108003,0,11996,0,0,0,0
342,111667,114202,0,12102,0,0,0,0
345,110875,111103,0,12208,0,0,0,0
348,115334,114917,0,12314,0,0,0,0
351,113000,112771,0,12420,0,0,0,0
354,113459,113964,0,12527,0,0,0,0
357,116167,115871,0,12633,0,0,0,0
360,115709,115871,0,12739,0,0,0,0
363,118166,118732,0,12845,0,0,0,0
366,126750,127077,0,12951,0,0,0,0
369,128583,128984,0,13057,0,0,0,0
372,129458,128984,0,13163,0,0,0,0
375,125709,125885,0,13269,0,0,0,0
378,134417,134944,0,13376,0,0,0,0
381,126250,126123,0,13482,0,0,0,0
384,133875,134229,0,13588,0,0,0,0
387,128583,128030,0,13694,0,0,0,0
390,129291,132322,0,13800,0,0,0,0
393,135000,135183,0,13906,0,0,0,0
396,131667,130891,0,14012,0,0,0,0
399,138333,138998,0,14118,0,0,0,0
402,133041,133037,0,14225,0,0,0,0
406,137375,138044,0,14366,0,0,0,0
410,135875,135898,0,14508,0,0,0,0
414,142917,143051,0,14649,0,0,0,0
418,139750,140190,0,14791,0,0,0,0
422,145167,146150,0,14932,0,0,0,0
426,142625,141859,0,15074,0,0,0,0
430,170125,169992,0,15215,0,0,0,0
434,155125,154972,0,15357,0,0,0,0
438,160083,159978,0,15498,0,0,0,0
442,175625,174760,0,15640,0,0,0,0
446,156250,157117,0,15781,0,0,0,0
450,158750,159025,0,15923,0,0,0,0
454,166542,166893,0,16064,0,0,0,0
458,159666,159978,0,16206,0,0,0,0
462,164209,163793,0,16347,0,0,0,0
466,172375,172853,0,16489,0,0,0,0
470,155917,155925,0,16630,0,0,0,0
474,161041,161170,0,16772,0,0,0,0
478,168041,167846,0,16913,0,0,0,0
482,163834,164270,0,17055,0,0,0,0
486,166541,165939,0,17196,0,0,0,0
490,165625,165939,0,17338,0,0,0,0
494,168916,169038,0,17479,0,0,0,0
498,165583,164985,0,17621,0,0,0,0
502,172042,171899,0,17762,0,0,0,0
507,174459,174999,0,17939,0,0,0,0
512,171250,171899,0,18116,0,0,0,0
517,173750,174045,0,18293,0,0,0,0
522,176417,176191,0,18470,0,0,0,0
527,179625,179052,0,18646,0,0,0,0
532,180541,180959,0,18823,0,0,0,0
537,183541,182628,0,19000,0,0,0,0
542,179583,179290,0,19177,0,0,0,0
547,184458,184059,0,19354,0,0,0,0
552,185709,185966,0,19531,0,0,0,0
557,211667,211954,0,19708,0,0,0,0
562,199625,200033,0,19885,0,0,0,0
567,200541,199794,0,20061,0,0,0,0
572,216916,217199,0,20238,0,0,0,0
577,192625,193119,0,20415,0,0,0,0
582,198625,199079,0,20592,0,0,0,0
587,194000,194072,0,20769,0,0,0,0
592,197375,196695,0,20946,0,0,0,0
597,198084,197887,0,21123,0,0,0,0
602,202333,202178,0,21300,0,0,0,0
608,210958,210762,0,21512,0,0,0,0
614,204209,203847,0,21724,0,0,0,0
620,213458,214099,0,21936,0,0,0,0
626,207791,206947,0,22149,0,0,0,0
